"""English""","""Japanese"""
variable,変数
function,関数
evaluate,評価する
merge,マージする
malicious,悪意のある
vulnerability,脆弱性
assign,代入する
define,定義する
initialize,初期化する
execute,実行する
argument,引数
asynchronous,非同期
type,型
coercion,型付け
bug,バグ
environment,環境
feature,機能
enable,有効にする
disable,無効にする
activate,アクティブ化する
deactivate,非アクティブ化する
valid,有効な
invalid,無効な
validation,検証
collapse,折りたたむ
expand,展開する
general,一般的な
allow,許可する
deny,拒否する
permission,権限
authentication,認証
cryptography,暗号
plaintext,平文
encryption,暗号化
encrypt,暗号化する
decrypt,解読する
ciphertext,暗号文
uptime,稼働時間
compile,コンパイルする
protocol,通信規約
client,クライアント
server,サーバー
register,レジスタ
algorithm,アルゴリズム
processor,プロセッサ
implementation,実装
output,(そのまま)出力
input,入力
export,(変換して)出力
parameter,仮引数
dynamic,動的
static,静的
brackets,括弧
development,開発
prerequisite,前提条件
browser,ブラウザ
interactive,対話式の
imperatively,命令的に
arbitary,任意
response,応答
dependency,依存
compatibility,互換性
convert,変換する(cから始まる)
invoke,(プログラムのルーチンを)呼び出す
directory,ディレクトリ
lowercase,小文字
uppercase,大文字
array,配列
sign,符号
optimization,最適化
portability,移植性
recursion,再帰
virtual,仮想
identification,識別子
proposal,提案
address,アドレス
anonymous,匿名
establish,(接続を)確立する
operator,演算子
operand,被演算子
reference,参照
colision,衝突
detection,検出
interrupt,割り込み
request,要求
